run_num, mean(test_R), test_R[[1]], test_R[[2]], mean(training_R), chosen_hidden_txt, chosen_input_dropout, chosen_l2, chosen_epochs

"1","0.656060040655571","0.649374616070261","0.66274546524088","0.646380820719465","| 450 | 30 | 3 |","0.000511788955021074","0.0701703828670384","500"
"1","0.844432302418699","0.842981144800077","0.845883460037321","0.893954702927985","| 228 | 6 | 2 |","0.00136887450953708","0.000170125427985259","500"
"2","0.839235604790237","0.839098618652459","0.839372590928015","0.930939033059651","| 250 | 8 | 4 |","1e-05","8.37677640068292e-06","500"
"3","0.849867647678056","0.84965230003461","0.850082995321503","0.92868953501032","| 225 | 60 | 50 | 20 | 2 |","7.15394265437649e-05","3.77505320532439e-05","500"
"4","0.837030674125152","0.831767519163227","0.842293829087077","0.932048869769149","| 228 | 6 | 2 |","2.67468552438908e-05","8.37677640068292e-06","500"
"5","0.843067286362029","0.841060677299093","0.845073895424964","0.88215263615329","| 150 | 3 |","1e-05","0.000170125427985259","500"
"6","0.839861920721345","0.83986348513614","0.83986035630655","0.936744371654442","| 250 | 8 | 4 |","0.00136887450953708","9.15247310877389e-08","500"
"7","0.839560696161523","0.842836082859714","0.836285309463333","0.912866494318103","| 150 | 3 |","0.00366130883536404","4.50657033774547e-09","500"
"8","0.842300808177104","0.838623451584765","0.845978164769443","0.937915101398277","| 450 | 25 | 10 | 3 |","0.00979284974226603","1e-09","500"
"9","0.840697256175722","0.838269968224117","0.843124544127327","0.95495488175483","| 450 | 30 | 3 |","0.187381742286039","4.50657033774547e-09","500"
"10",NA,NA,NA,NA,"| 220 | 20 | 3 |","0.501187233627272","0.316227766016838","500"
"11","0.833238287026237","0.828378349445167","0.838098224607307","0.852480128825276","| 260 | 25 | 2 |","0.00136887450953708","0.000766682207454622","500"
"12","0.846670326155051","0.846179329602005","0.847161322708097","0.948610133578744","| 225 | 60 | 50 | 20 | 2 |","0.000191345468599704","8.37677640068292e-06","500"
"13",NA,NA,NA,NA,"| 220 | 20 | 3 |","0.00979284974226603","0.316227766016838","500"
"14","0.845443616383423","0.841720392377675","0.84916684038917","0.914942976810815","| 150 | 3 |","0.000191345468599704","1e-09","500"
"15","0.845305136470713","0.842669435865609","0.847940837075817","0.937578795881006","| 260 | 25 | 2 |","7.15394265437649e-05","3.77505320532439e-05","500"
"16",NA,NA,NA,NA,"| 450 | 30 | 3 |","0.000511788955021074","0.316227766016838","500"
"17","0.844365957813267","0.844902262384699","0.843829653241834","0.941144466928401","| 220 | 20 | 3 |","7.15394265437649e-05","8.37677640068292e-06","500"
"18","0.85144008268458","0.853067442905661","0.8498127224635","0.930299517099787","| 450 | 25 | 10 | 3 |","0.00366130883536404","3.77505320532439e-05","500"
"19","0.840386847345892","0.84137148394029","0.839402210751494","0.940735112840825","| 130 | 30 | 3 |","0.00136887450953708","9.15247310877389e-08","500"
"20","0.851277963877561","0.855431168891509","0.847124758863613","0.934040311389674","| 450 | 25 | 10 | 3 |","0.00979284974226603","3.77505320532439e-05","500"
"21","0.839315928322723","0.844353420362027","0.83427843628342","0.952006028788328","| 220 | 20 | 3 |","0.000191345468599704","1e-09","500"
"22","0.846658090769768","0.839961419216418","0.853354762323119","0.888629637351737","| 450 | 30 | 3 |","0.0700574854790968","0.000170125427985259","500"
"23","0.846132873106597","0.853080571221893","0.839185174991301","0.947047373608872","| 220 | 20 | 3 |","0.000191345468599704","8.37677640068292e-06","500"
"24","0.800561048361573","0.80039705146325","0.800725045259895","0.810956742177963","| 150 | 3 |","0.00366130883536404","0.00345510729459222","500"
"25","0.654291704021915","0.656334408820849","0.65224899922298","0.641854519674156","| 150 | 3 |","0.00979284974226603","0.0701703828670384","500"
"26","0.847746069606341","0.838670561024584","0.856821578188097","0.900315796317309","| 225 | 60 | 50 | 20 | 2 |","0.0700574854790968","0.000170125427985259","500"
"27",NA,NA,NA,NA,"| 225 | 60 | 50 | 20 | 2 |","0.00979284974226603","0.316227766016838","500"
"28","0.848927294994891","0.846357346834996","0.851497243154785","0.948176637610703","| 260 | 25 | 2 |","7.15394265437649e-05","1e-09","500"
"29","0.846592744957325","0.847855873578967","0.845329616335683","0.947673059884025","| 260 | 25 | 2 |","7.15394265437649e-05","2.03091762090473e-08","500"
"30","0.844492797654166","0.846408395181422","0.84257720012691","0.920353843547383","| 220 | 4 |","2.67468552438908e-05","1.85879189114656e-06","500"
"31","0.792845504655212","0.795547661940064","0.79014334737036","0.799698027585239","| 450 | 25 | 10 | 3 |","0.00136887450953708","0.00345510729459222","500"
"32","0.724582392129637","0.73193996187707","0.717224822382204","0.735721011757964","| 450 | 30 | 3 |","0.501187233627272","0.0155706840475373","500"
"33",NA,NA,NA,NA,"| 150 | 3 |","7.15394265437649e-05","0.316227766016838","500"
"34","0.845577191491911","0.847785975745996","0.843368407237827","0.950435967285747","| 260 | 25 | 2 |","1e-05","0","500"
"35","0.649798514242393","0.663350922579218","0.636246105905569","0.661820907587073","| 225 | 60 | 50 | 20 | 2 |","0.501187233627272","0.0155706840475373","500"
"36","0.83885323608005","0.84242954660309","0.83527692555701","0.93945175297399","| 250 | 8 | 4 |","7.15394265437649e-05","2.03091762090473e-08","500"
"37","0.844688435975963","0.843307951196759","0.846068920755166","0.94390541076113","| 450 | 30 | 3 |","2.67468552438908e-05","4.50657033774547e-09","500"
"38","0.746222012982981","0.741624953704935","0.750819072261026","0.756032365555806","| 225 | 60 | 50 | 20 | 2 |","0.0700574854790968","0.0155706840475373","500"
"39","0.83744578284445","0.845434468507953","0.829457097180947","0.874463441030089","| 450 | 30 | 3 |","0.00979284974226603","0.000170125427985259","500"
"40","0.662265015477252","0.667133002122602","0.657397028831903","0.655698631325107","| 150 | 3 |","0.0261927934481563","0.0155706840475373","500"
"41","0.659389975262747","0.660146552821919","0.658633397703576","0.648298430411891","| 260 | 25 | 2 |","7.15394265437649e-05","0.0701703828670384","500"
"42","0.847837051500106","0.850572454285483","0.845101648714729","0.947646506341429","| 220 | 20 | 3 |","2.67468552438908e-05","2.03091762090473e-08","500"
"43","0.845857658857913","0.848324545813761","0.843390771902065","0.948205399525086","| 450 | 25 | 10 | 3 |","0.0700574854790968","1.85879189114656e-06","500"
"44","0.841726727769694","0.842628257981804","0.840825197557585","0.951141815453339","| 225 | 60 | 50 | 20 | 2 |","0.0261927934481563","4.50657033774547e-09","500"
"45","0.841253217329946","0.837211031883488","0.845295402776404","0.948826308233613","| 450 | 25 | 10 | 3 |","0.187381742286039","0","500"
"46","0.843499793311829","0.836133206814533","0.850866379809124","0.938308691670359","| 250 | 8 | 4 |","0.00366130883536404","0","500"
"47","0.83848536605303","0.836569577830909","0.840401154275151","0.91186834620836","| 150 | 3 |","1e-05","4.12462638290135e-07","500"
"48","0.841641030972949","0.83902422766247","0.844257834283428","0.939459810305924","| 250 | 8 | 4 |","2.67468552438908e-05","1e-09","500"
"49","0.65178355297282","0.663001794775422","0.640565311170217","0.646818201681221","| 150 | 3 |","0.00979284974226603","0.0701703828670384","500"
"50","0.843279141677241","0.845078439548071","0.841479843806411","0.914993367266555","| 220 | 4 |","0.0261927934481563","4.12462638290135e-07","500"
"51","0.666701704118137","0.67823846429602","0.655164943940255","0.660554224048821","| 228 | 6 | 2 |","0.501187233627272","0.0155706840475373","500"
"52","0.847932377276429","0.850562900379573","0.845301854173285","0.943989023697922","| 450 | 25 | 10 | 3 |","0.00979284974226603","1.85879189114656e-06","500"
"53","0.850225183864912","0.846305847105846","0.854144520623978","0.941524784769824","| 225 | 60 | 50 | 20 | 2 |","0.00366130883536404","3.77505320532439e-05","500"
"54","0.846733111049237","0.841089412598928","0.852376809499546","0.943053249974111","| 130 | 30 | 3 |","0.501187233627272","1e-09","500"
