Parameter search on just location. 

run_num, mean(test_R), test_R[[1]], test_R[[2]], mean(training_R), chosen_hidden_txt, chosen_input_dropout, chosen_l2, chosen_epochs

"1","0.597649997832504","0.58839257820119","0.606907417463818","0.748271733110525","| 120 | 8 | 4 |","0.187381742286039","0.000158489319246111","500"
"2","0.62342888421981","0.642173632587376","0.604684135852245","0.824169043497075","| 130 | 30 | 3 |","0.00366130883536404","2.51188643150958e-06","500"
"3","0.512139105580438","0.518951599840403","0.505326611320472","0.555068894499684","| 200 | 6 | 2 |","0.0261927934481563","0.00251188643150958","500"
"4","0.366654220949014","0.378047258010665","0.355261183887363","0.386798780585091","| 140 | 25 | 2 |","0.187381742286039","0.01","500"
"5","0.59780181189082","0.605254962546495","0.590348661235144","0.772051233522825","| 120 | 8 | 4 |","0.501187233627272","3.98107170553497e-05","500"
"6","0.616779784949998","0.614598686711746","0.618960883188251","0.80092349294675","| 140 | 25 | 2 |","0.000511788955021074","3.98107170553497e-05","500"
"7","0.621060682001085","0.616003564083132","0.626117799919038","0.821524328003948","| 200 | 60 | 50 | 20 | 2 |","0.000191345468599704","1e-05","500"
"8","0.170816309048849","0.173928394253025","0.167704223844673","0.175186786808315","| 150 | 4 |","7.15394265437649e-05","0.0398107170553497","500"
"9","0.619606343723807","0.623642516402943","0.615570171044671","0.814346821896415","| 140 | 25 | 2 |","1e-05","3.98107170553497e-08","500"
"10","0.620529406715463","0.605352455089695","0.635706358341231","0.814518034619621","| 130 | 30 | 3 |","0.187381742286039","1e-08","500"
"11","0.616175159914569","0.612438254626675","0.619912065202463","0.777696253864415","| 120 | 8 | 4 |","0.000191345468599704","1e-05","500"
"12","0.629083315307359","0.627595042498992","0.630571588115726","0.820730039160648","| 200 | 60 | 50 | 20 | 2 |","0.0700574854790968","6.30957344480193e-07","500"
"13","0.623155855848119","0.626429021428902","0.619882690267335","0.794338165969802","| 140 | 25 | 2 |","2.67468552438908e-05","3.98107170553497e-05","500"
"14","0.590641091351371","0.59736205658567","0.583920126117071","0.67724551025734","| 130 | 30 | 3 |","0.000191345468599704","0.000630957344480193","500"
"15","0.593699519869318","0.587554296013477","0.59984474372516","0.797003377143897","| 200 | 6 | 2 |","7.15394265437649e-05","2.51188643150958e-06","500"
"16","0.587987985862597","0.605707360364169","0.570268611361026","0.678415867248515","| 130 | 30 | 3 |","0.000191345468599704","0.000630957344480193","500"
"17","0.600201231730856","0.611803161054103","0.588599302407609","0.756066103513807","| 180 | 3 |","0.0261927934481563","1e-05","500"
"18","0.611848895570207","0.609505693120621","0.614192098019794","0.785171202101876","| 120 | 8 | 4 |","0.00366130883536404","2.51188643150958e-06","500"
"19","0.610633761803281","0.608051728752142","0.61321579485442","0.744155229520111","| 180 | 3 |","0.187381742286039","6.30957344480193e-07","500"
"20","0.606081109741709","0.600310427227919","0.611851792255499","0.73228529622847","| 200 | 6 | 2 |","2.67468552438908e-05","0.000158489319246111","500"
"21","0.622320987271626","0.628778103786317","0.615863870756934","0.839044301369447","| 200 | 60 | 50 | 20 | 2 |","0.00979284974226603","3.98107170553497e-08","500"
"22","0.606420140413968","0.613129156953963","0.599711123873972","0.842499432084627","| 200 | 25 | 10 | 3 |","0.501187233627272","1.58489319246111e-07","500"
"23",NA,NA,NA,NA,"| 130 | 30 | 3 |","7.15394265437649e-05","0.158489319246111","500"
"24","0.613567844023667","0.629871397810966","0.597264290236369","0.849100769934011","| 200 | 25 | 10 | 3 |","0.0261927934481563","1e-08","500"
"25",NA,NA,NA,NA,"| 150 | 4 |","0.00366130883536404","0.630957344480193","500"
"26","0.521312995678492","0.537326603608314","0.505299387748671","0.558818176756652","| 200 | 6 | 2 |","0.00979284974226603","0.00251188643150958","500"
"27","0.375548113069044","0.358327752260202","0.392768473877886","0.39010290166903","| 150 | 20 | 3 |","0.000191345468599704","0.01","500"
"28","0.357671211844673","0.368350171527542","0.346992252161804","0.384670798168976","| 120 | 8 | 4 |","0.000511788955021074","0.01","500"
"29","0.590449661667962","0.598044416348455","0.582854906987469","0.742705979766427","| 180 | 3 |","0.00366130883536404","6.30957344480193e-07","500"
"30","0.596627333726304","0.603657411660766","0.589597255791842","0.7830259172841","| 120 | 8 | 4 |","0.00366130883536404","1e-05","500"
"31",NA,NA,NA,NA,"| 130 | 30 | 3 |","0.0261927934481563","0.158489319246111","500"
"32","0.169819132690056","0.153932940055288","0.185705325324824","0.177281893330099","| 150 | 4 |","0.0261927934481563","0.0398107170553497","500"
"33","0.608342255677159","0.610476575285849","0.60620793606847","0.78377838324215","| 130 | 30 | 3 |","0.501187233627272","0.000158489319246111","500"
"34","0.606428435647175","0.600864548240385","0.611992323053965","0.660734933108312","| 200 | 25 | 10 | 3 |","0.501187233627272","0.000630957344480193","500"
"35","0.586571528639775","0.590654578099086","0.582488479180465","0.73995357696677","| 180 | 3 |","7.15394265437649e-05","3.98107170553497e-08","500"
"36",NA,NA,NA,NA,"| 200 | 6 | 2 |","2.67468552438908e-05","0.0398107170553497","500"
"37","0.508919707679244","0.507004268270452","0.510835147088036","0.543159403625559","| 180 | 3 |","0.187381742286039","0.00251188643150958","500"
"38","0.597535595988655","0.608983877982444","0.586087313994865","0.775173384164026","| 150 | 4 |","0.0700574854790968","3.98107170553497e-08","500"
"39","0.598758418614865","0.587797499650723","0.609719337579007","0.784144177659587","| 120 | 8 | 4 |","0.0261927934481563","3.98107170553497e-08","500"
"1","0.6117823101038","0.617835831115759","0.605728789091841","0.865287254818077","| 330 | 30 | 3 |","7.15394265437649e-05","0","500"
"2","0.612978285992149","0.614681086564359","0.61127548541994","0.832089226728685","| 200 | 60 | 50 | 20 | 2 |","0.00979284974226603","0","500"
"3","0.593289472688967","0.592942269285397","0.593636676092537","0.755510072901618","| 180 | 3 |","0.00979284974226603","1e-08","500"
"4","0.612949933778021","0.619069566317233","0.606830301238809","0.836217809814167","| 260 | 25 | 2 |","0.187381742286039","0","500"
"5","0.428002829574402","0.410122280615433","0.445883378533371","0.439341443374681","| 200 | 60 | 50 | 20 | 2 |","0.0261927934481563","0.00251188643150958","500"
"6","0.621822434451064","0.619194734477324","0.624450134424804","0.857844122248197","| 330 | 30 | 3 |","0.0700574854790968","0","500"
"7","0.622406513274358","0.616538695911902","0.628274330636814","0.851445160059042","| 330 | 30 | 3 |","0.000191345468599704","1e-08","500"
"8","0.624082102120877","0.621651396371401","0.626512807870352","0.849529122914338","| 330 | 30 | 3 |","0.000511788955021074","1.58489319246111e-07","500"
"9","0.589496572141334","0.595676437482115","0.583316706800553","0.750023105891711","| 180 | 3 |","2.67468552438908e-05","1e-05","500"
"10","0.4445771730066","0.462877256759476","0.426277089253724","0.467117132548682","| 200 | 60 | 50 | 20 | 2 |","0.501187233627272","0.00251188643150958","500"
"11","0.519114501313502","0.530103563303779","0.508125439323226","0.556124224319835","| 200 | 6 | 2 |","0.00366130883536404","0.00251188643150958","500"
