With date_created

run_num, mean(test_R), test_R[[1]], test_R[[2]], mean(training_R), chosen_hidden_txt, chosen_input_dropout, chosen_l2, chosen_epochs


"1","0.600623286800578","0.609340231312028","0.591906342289129","0.836705696389112","| 130 | 30 | 3 |","2.67468552438908e-05","6.30957344480193e-07","500"
"2","0.60528019641524","0.606060686652053","0.604499706178428","0.842351353096264","| 200 | 25 | 10 | 3 |","0.000511788955021074","3.98107170553497e-05","500"
"3","0.625107335167947","0.619468158183229","0.630746512152665","0.863647793887434","| 260 | 25 | 2 |","0.000511788955021074","2.51188643150958e-06","500"
"4","0.59890219832954","0.598364693596047","0.599439703063033","0.812660627786141","| 200 | 6 | 2 |","0.00979284974226603","0","500"
"5","0.602547691384071","0.60418796126245","0.600907421505692","0.865042323053826","| 260 | 25 | 2 |","0.0700574854790968","0","500"
"6","0.628449649944183","0.623035388439371","0.633863911448994","0.832754574502685","| 200 | 60 | 50 | 20 | 2 |","7.15394265437649e-05","2.51188643150958e-06","500"
"7","0.592905727556329","0.603915619024913","0.581895836087744","0.764547064967582","| 180 | 3 |","0.501187233627272","1e-05","500"
"8","0.616410586482989","0.609138117701919","0.623683055264058","0.843951510697239","| 200 | 60 | 50 | 20 | 2 |","0.0700574854790968","1e-05","500"
"9","0.600930865336785","0.604627051720488","0.597234678953083","0.850501227400624","| 260 | 25 | 2 |","0.0700574854790968","1e-08","500"
"10",NA,NA,NA,NA,"| 220 | 20 | 3 |","0.000511788955021074","0.0398107170553497","500"
"11","0.616961178048483","0.618184621619562","0.615737734477405","0.764924433230952","| 330 | 30 | 3 |","0.501187233627272","0.000158489319246111","500"
"12","0.610457544162507","0.606151954626854","0.614763133698159","0.830361666495533","| 250 | 8 | 4 |","0.00136887450953708","1e-08","500"
"13","0.600135662141178","0.597963780046958","0.602307544235399","0.814028306771859","| 200 | 6 | 2 |","0.00136887450953708","0","500"
"14","0.600938282866025","0.607999199939062","0.593877365792987","0.853398477994502","| 220 | 20 | 3 |","0.00979284974226603","0","500"
"15","0.603507310410129","0.605405411035452","0.601609209784806","0.788912561744542","| 260 | 25 | 2 |","0.0700574854790968","0.000158489319246111","500"
"16","0.612306171239762","0.612779121301967","0.611833221177557","0.877428270435653","| 330 | 30 | 3 |","0.501187233627272","3.98107170553497e-08","500"
"17","0.52442372232605","0.538940177653785","0.509907266998315","0.543667577264483","| 200 | 25 | 10 | 3 |","0.00979284974226603","0.00251188643150958","500"
"18","0.613382274176111","0.620637998291661","0.606126550060562","0.855910321795841","| 330 | 30 | 3 |","0.0261927934481563","0","500"
"19",NA,"0.174430468018805",NA,NA,"| 260 | 25 | 2 |","0.187381742286039","0.0398107170553497","500"
"20","0.574913571953839","0.575362629133608","0.574464514774069","0.631170378545993","| 200 | 6 | 2 |","0.000191345468599704","0.000630957344480193","500"
"21","0.589602044881985","0.586011030099351","0.593193059664619","0.837724567986422","| 250 | 8 | 4 |","1e-05","0","500"
"22",NA,NA,NA,NA,"| 220 | 20 | 3 |","7.15394265437649e-05","0.630957344480193","500"
"23","0.176436407752739","0.167811521584777","0.185061293920701","0.180261750460444","| 180 | 3 |","0.00136887450953708","0.0398107170553497","500"
"24","0.617016845875481","0.609085939976991","0.624947751773971","0.846978396271053","| 200 | 25 | 10 | 3 |","0.00979284974226603","1e-08","500"
"25","0.503053578341782","0.477864242601642","0.528242914081922","0.52911402464169","| 260 | 25 | 2 |","0.0700574854790968","0.00251188643150958","500"
"26",NA,NA,NA,NA,"| 180 | 3 |","0.00366130883536404","0.630957344480193","500"
"27",NA,NA,NA,NA,"| 260 | 25 | 2 |","0.00366130883536404","0.630957344480193","500"
"28","0.593220847393098","0.586819642974811","0.599622051811386","0.820938113122811","| 250 | 8 | 4 |","0.000191345468599704","1e-08","500"
"29","0.607754159925706","0.612405017557127","0.603103302294285","0.858701538309903","| 330 | 30 | 3 |","0.00136887450953708","1e-08","500"
"30",NA,NA,NA,NA,"| 200 | 6 | 2 |","0.0700574854790968","0.158489319246111","500"
"31","0.607837753022052","0.602211678484176","0.613463827559928","0.854727364608549","| 200 | 25 | 10 | 3 |","0.187381742286039","0","500"
"32",NA,NA,NA,NA,"| 200 | 6 | 2 |","0.0700574854790968","0.0398107170553497","500"
"33",NA,NA,NA,NA,"| 130 | 30 | 3 |","0.000191345468599704","0.630957344480193","500"
"34",NA,NA,NA,NA,"| 200 | 6 | 2 |","0.501187233627272","0.630957344480193","500"
"35","0.608022336630981","0.608279931158071","0.607764742103892","0.854806628690594","| 200 | 25 | 10 | 3 |","0.0261927934481563","2.51188643150958e-06","500"
"36","0.595766516380968","0.593223662018254","0.598309370743683","0.848800378932106","| 200 | 60 | 50 | 20 | 2 |","0.00366130883536404","1e-08","500"
