run_num, mean(test_R), test_R[[1]], test_R[[2]], mean(training_R), chosen_hidden_txt, chosen_input_dropout, chosen_l2, chosen_epochs

"1","0.801022963178444","0.794899699600813","0.807146226756075","0.815414259718069","| 260 | 25 | 2 |","0.0700574854790968","0.000766682207454622","500"
"2","0.814270686471482","0.812162614912168","0.816378758030796","0.906742842970552","| 225 | 60 | 50 | 20 | 2 |","0.000511788955021074","3.77505320532439e-05","500"
"3","0.817669778536942","0.812283100364308","0.823056456709577","0.916465619915144","| 225 | 60 | 50 | 20 | 2 |","0.187381742286039","0","500"
"4","0.811537298988191","0.81438875242722","0.808685845549162","0.928587919063434","| 260 | 25 | 2 |","0.00979284974226603","4.12462638290135e-07","500"
"5","0.806405776110533","0.808412860723937","0.804398691497129","0.932526922190746","| 200 | 25 | 10 | 3 |","1e-05","0","500"
"6","0.73621128131664","0.730005717048648","0.742416845584633","0.752187058234935","| 225 | 60 | 50 | 20 | 2 |","0.000191345468599704","0.00345510729459222","500"
"7","0.78807097693014","0.789584133745563","0.786557820114718","0.80745705672678","| 220 | 4 |","0.0261927934481563","0.000766682207454622","500"
"8","0.807344217927848","0.803634416649188","0.811054019206508","0.873601078131367","| 220 | 4 |","1e-05","3.77505320532439e-05","500"
"9","0.61468731558509","0.606954747475181","0.622419883694999","0.612165480735485","| 330 | 30 | 3 |","0.00136887450953708","0.0155706840475373","500"
"10","0.814603168501116","0.816168502723606","0.813037834278627","0.928972318992477","| 225 | 60 | 50 | 20 | 2 |","0.000191345468599704","0","500"
"11","0.819762578952848","0.82403907888262","0.815486079023076","0.930493436834054","| 220 | 20 | 3 |","0.00979284974226603","2.03091762090473e-08","500"
"12",NA,NA,NA,NA,"| 260 | 25 | 2 |","2.67468552438908e-05","0.316227766016838","500"
"13","0.809646528357522","0.813827943675201","0.805465113039842","0.933547860352503","| 200 | 25 | 10 | 3 |","0.187381742286039","1e-09","500"
"14","0.809406713174438","0.808946811412982","0.809866614935894","0.909484460324499","| 228 | 6 | 2 |","0.00979284974226603","4.12462638290135e-07","500"
"15","0.816129831799988","0.814469412257519","0.817790251342457","0.884295265646279","| 150 | 3 |","0.00979284974226603","1e-09","500"
"16","0.811451309039948","0.815867432289902","0.807035185789994","0.936354284415323","| 330 | 30 | 3 |","0.501187233627272","9.15247310877389e-08","500"
"17","0.810764499870316","0.809147555608583","0.812381444132049","0.93652989064487","| 260 | 25 | 2 |","0.000511788955021074","0","500"
"18","0.817692467154194","0.819026939282878","0.81635799502551","0.927406326667272","| 200 | 25 | 10 | 3 |","2.67468552438908e-05","0","500"
"19","0.811655309429409","0.818917891340566","0.804392727518253","0.924548170044576","| 260 | 25 | 2 |","0.00366130883536404","0","500"
